user_id,device_id,ip,resource,login_time,logout_time,success,auth_method,sensitive_access
USER_119,DEV_WORKSTATION_4,192.168.1.34,/public/index.html,2026-08-28 11:44:00,2026-08-28 13:10:00,1,SSH-Key,0
USER_120,DEV_WORKSTATION_2,192.168.1.28,/finance/records,2026-08-28 08:57:00,2026-08-28 10:20:00,1,MFA,1
USER_120,DEV_WORKSTATION_15,192.168.1.39,/admin/db_backup,2026-08-28 10:54:00,2026-08-28 14:52:00,1,SSH-Key,1
USER_110,DEV_WORKSTATION_18,192.168.1.59,/admin/db_backup,2026-08-28 13:54:00,2026-08-28 17:47:00,1,MFA,1
USER_105,DEV_WORKSTATION_16,192.168.1.45,/api/v1/auth,2026-08-28 13:00:00,2026-08-28 13:32:00,1,Kerberos,0
USER_122,DEV_WORKSTATION_1,10.0.4.99,/public/index.html,2026-08-28 16:08:00,2026-08-28 17:07:00,1,Kerberos,0
USER_101,DEV_WORKSTATION_2,192.168.1.55,/sys/config,2026-08-28 10:04:00,2026-08-28 13:36:00,1,SSH-Key,0
USER_115,DEV_WORKSTATION_4,192.168.1.13,/finance/records,2026-08-28 17:27:00,2026-08-28 18:19:00,1,SSH-Key,1
USER_114,DEV_WORKSTATION_12,192.168.1.18,/admin/db_backup,2026-08-28 13:20:00,2026-08-28 16:47:00,1,SSH-Key,1
USER_120,DEV_WORKSTATION_8,192.168.1.33,/sys/config,2026-08-28 16:40:00,2026-08-28 18:44:00,1,SSH-Key,0
USER_111,DEV_WORKSTATION_13,192.168.1.54,/public/index.html,2026-08-28 13:30:00,2026-08-28 17:24:00,0,Kerberos,0
USER_107,DEV_WORKSTATION_6,192.168.1.44,/finance/records,2026-08-28 18:03:00,2026-08-28 21:54:00,1,Password,1
USER_113,DEV_WORKSTATION_4,192.168.1.14,/finance/records,2026-08-28 13:40:00,2026-08-28 16:22:00,0,Password,1
USER_120,DEV_WORKSTATION_11,192.168.1.46,/api/v1/auth,2026-08-28 13:45:00,2026-08-28 14:15:00,1,MFA,0
USER_115,DEV_WORKSTATION_12,192.168.1.45,/finance/records,2026-08-28 16:10:00,2026-08-28 17:26:00,1,SSH-Key,1
USER_119,DEV_WORKSTATION_3,192.168.1.44,/api/v1/auth,2026-08-28 11:33:00,2026-08-28 12:00:00,1,Password,0
USER_123,DEV_WORKSTATION_4,192.168.1.41,/api/v1/auth,2026-08-28 14:00:00,2026-08-28 15:55:00,1,Kerberos,0
USER_124,DEV_WORKSTATION_10,192.168.1.20,/public/index.html,2026-08-28 09:13:00,2026-08-28 12:04:00,1,SSH-Key,0
USER_107,DEV_WORKSTATION_12,192.168.1.47,/api/v1/auth,2026-08-28 15:24:00,2026-08-28 16:23:00,1,Password,0
USER_116,DEV_WORKSTATION_3,192.168.1.46,/api/v1/auth,2026-08-28 11:45:00,2026-08-28 14:19:00,1,SSH-Key,0
USER_107,DEV_WORKSTATION_14,192.168.1.46,/api/v1/auth,2026-08-28 13:04:00,2026-08-28 14:13:00,1,SSH-Key,0
USER_104,DEV_WORKSTATION_4,192.168.1.54,/sys/config,2026-08-28 09:17:00,2026-08-28 10:28:00,1,MFA,0
USER_117,DEV_WORKSTATION_14,192.168.1.20,/admin/db_backup,2026-08-28 19:42:00,2026-08-28 23:35:00,0,Kerberos,1
USER_111,DEV_WORKSTATION_9,192.168.1.34,/api/v1/auth,2026-08-28 13:16:00,2026-08-28 15:24:00,1,Kerberos,0
USER_110,DEV_WORKSTATION_5,192.168.1.55,/public/index.html,2026-08-28 20:00:00,2026-08-28 22:54:00,1,SSH-Key,0
USER_124,DEV_WORKSTATION_16,192.168.1.55,/public/index.html,2026-08-28 21:30:00,2026-08-28 22:18:00,1,SSH-Key,0
USER_120,DEV_WORKSTATION_8,192.168.1.21,/public/index.html,2026-08-28 17:34:00,2026-08-28 18:48:00,0,Password,0
USER_104,SRV_DB_1,192.168.1.30,/sys/config,2026-08-28 10:46:00,2026-08-28 14:37:00,1,MFA,0
USER_106,DEV_WORKSTATION_2,192.168.1.22,/public/index.html,2026-08-28 19:12:00,2026-08-28 20:46:00,0,Kerberos,0
USER_101,DEV_WORKSTATION_6,192.168.1.44,/api/v1/auth,2026-08-28 19:20:00,2026-08-28 21:59:00,1,MFA,0
USER_116,DEV_WORKSTATION_15,192.168.1.40,/finance/records,2026-08-28 09:26:00,2026-08-28 13:00:00,1,Password,1
USER_105,DEV_WORKSTATION_12,192.168.1.25,/sys/config,2026-08-28 21:03:00,2026-08-28 21:58:00,1,Password,0
USER_106,DEV_WORKSTATION_2,192.168.1.32,/admin/db_backup,2026-08-28 10:56:00,2026-08-28 12:24:00,1,MFA,1
USER_108,DEV_WORKSTATION_1,192.168.1.53,/admin/db_backup,2026-08-28 15:25:00,2026-08-28 18:40:00,1,SSH-Key,1
USER_115,DEV_WORKSTATION_17,192.168.1.49,/admin/db_backup,2026-08-28 20:00:00,2026-08-28 22:18:00,1,Kerberos,1
USER_118,DEV_WORKSTATION_15,192.168.1.18,/public/index.html,2026-08-28 09:31:00,2026-08-28 10:52:00,1,Password,0
USER_122,DEV_WORKSTATION_1,192.168.1.15,/sys/config,2026-08-28 12:36:00,2026-08-28 14:47:00,1,MFA,0
USER_101,DEV_WORKSTATION_16,192.168.1.19,/public/index.html,2026-08-28 20:24:00,2026-08-28 22:56:00,1,MFA,0
USER_106,DEV_WORKSTATION_11,192.168.1.14,/public/index.html,2026-08-28 15:50:00,2026-08-28 18:44:00,0,SSH-Key,0
USER_122,DEV_WORKSTATION_11,192.168.1.14,/api/v1/auth,2026-08-28 17:30:00,2026-08-28 18:09:00,1,MFA,0
USER_108,DEV_WORKSTATION_18,192.168.1.40,/public/index.html,2026-08-28 16:00:00,2026-08-28 19:40:00,1,MFA,0
USER_118,DEV_WORKSTATION_14,192.168.1.39,/finance/records,2026-08-29 00:10:00,2026-08-29 03:56:00,1,SSH-Key,1
USER_103,DEV_WORKSTATION_18,192.168.1.48,/public/index.html,2026-08-28 22:42:00,2026-08-28 23:05:00,1,SSH-Key,0
USER_107,DEV_WORKSTATION_18,192.168.1.34,/api/v1/auth,2026-08-28 19:33:00,2026-08-28 23:06:00,1,Kerberos,0
USER_123,DEV_WORKSTATION_4,192.168.1.49,/finance/records,2026-08-28 19:40:00,2026-08-28 23:00:00,1,SSH-Key,1
USER_110,DEV_WORKSTATION_12,192.168.1.47,/admin/db_backup,2026-08-28 18:06:00,2026-08-28 18:45:00,0,Password,1
USER_124,DEV_WORKSTATION_9,192.168.1.46,/sys/config,2026-08-29 01:00:00,2026-08-29 01:47:00,0,MFA,0
USER_122,DEV_WORKSTATION_12,192.168.1.25,/finance/records,2026-08-28 18:18:00,2026-08-28 21:18:00,1,MFA,1
USER_109,DEV_WORKSTATION_14,192.168.1.39,/finance/records,2026-08-28 09:44:00,2026-08-28 12:26:00,1,MFA,1
USER_123,SRV_DB_2,192.168.1.55,/admin/db_backup,2026-08-29 01:30:00,2026-08-29 04:52:00,1,Kerberos,1
USER_121,DEV_WORKSTATION_16,192.168.1.53,/sys/config,2026-08-28 18:36:00,2026-08-28 22:03:00,1,Kerberos,0
USER_101,DEV_WORKSTATION_1,192.168.1.23,/public/index.html,2026-08-28 18:42:00,2026-08-28 19:56:00,1,Password,0
USER_123,DEV_WORKSTATION_2,192.168.1.18,/sys/config,2026-08-28 18:48:00,2026-08-28 21:24:00,1,SSH-Key,0
USER_115,SRV_DB_1,192.168.1.49,/sys/config,2026-08-28 18:54:00,2026-08-28 19:17:00,1,SSH-Key,0
USER_120,DEV_WORKSTATION_16,192.168.1.53,/public/index.html,2026-08-28 17:10:00,2026-08-28 18:49:00,0,Password,0
USER_102,DEV_WORKSTATION_18,192.168.1.28,/sys/config,2026-08-28 19:06:00,2026-08-28 22:26:00,0,Password,0
USER_118,DEV_WORKSTATION_19,192.168.1.52,/admin/db_backup,2026-08-28 11:44:00,2026-08-28 14:52:00,1,Kerberos,1
USER_102,SRV_DB_3,192.168.1.10,/admin/db_backup,2026-08-28 13:39:00,2026-08-28 15:45:00,1,MFA,1
USER_108,DEV_WORKSTATION_1,192.168.1.13,/finance/records,2026-08-29 03:00:00,2026-08-29 05:30:00,1,Kerberos,1
USER_121,DEV_WORKSTATION_8,192.168.1.46,/api/v1/auth,2026-08-28 13:45:00,2026-08-28 15:10:00,1,Kerberos,0
USER_118,DEV_WORKSTATION_14,192.168.1.57,/admin/db_backup,2026-08-28 15:44:00,2026-08-28 16:47:00,1,MFA,1
USER_118,SRV_DB_4,192.168.1.48,/api/v1/auth,2026-08-28 09:57:00,2026-08-28 13:01:00,1,SSH-Key,0
USER_121,DEV_WORKSTATION_9,192.168.1.35,/api/v1/auth,2026-08-28 11:56:00,2026-08-28 12:50:00,1,SSH-Key,0
USER_119,SRV_DB_2,192.168.1.12,/admin/db_backup,2026-08-29 03:50:00,2026-08-29 05:21:00,1,SSH-Key,1
USER_111,DEV_WORKSTATION_17,192.168.1.49,/public/index.html,2026-08-28 18:00:00,2026-08-28 18:59:00,1,MFA,0
USER_101,DEV_WORKSTATION_7,192.168.1.29,/api/v1/auth,2026-08-28 16:04:00,2026-08-28 19:42:00,1,Kerberos,0
USER_114,DEV_WORKSTATION_8,192.168.1.11,/api/v1/auth,2026-08-28 16:08:00,2026-08-28 19:02:00,1,SSH-Key,0
USER_115,DEV_WORKSTATION_10,192.168.1.14,/api/v1/auth,2026-08-28 16:12:00,2026-08-28 17:16:00,1,Password,0
USER_104,DEV_WORKSTATION_13,192.168.1.39,/sys/config,2026-08-28 22:28:00,2026-08-28 23:25:00,1,MFA,0
USER_121,DEV_WORKSTATION_9,192.168.1.15,/api/v1/auth,2026-08-29 02:45:00,2026-08-29 06:08:00,0,Kerberos,0
USER_108,DEV_WORKSTATION_2,192.168.1.18,/api/v1/auth,2026-08-28 12:12:00,2026-08-28 15:27:00,1,Password,0
USER_106,DEV_WORKSTATION_17,192.168.1.49,/admin/db_backup,2026-08-29 00:56:00,2026-08-29 04:32:00,1,MFA,1
USER_114,SRV_DB_1,192.168.1.27,/api/v1/auth,2026-08-28 18:40:00,2026-08-28 20:08:00,1,MFA,0
USER_121,DEV_WORKSTATION_9,192.168.1.53,/api/v1/auth,2026-08-29 05:30:00,2026-08-29 06:40:00,0,Kerberos,0
USER_112,DEV_WORKSTATION_1,192.168.1.35,/admin/db_backup,2026-08-28 18:50:00,2026-08-28 20:40:00,1,SSH-Key,1
USER_113,DEV_WORKSTATION_2,192.168.1.19,/api/v1/auth,2026-08-29 01:28:00,2026-08-29 02:28:00,1,SSH-Key,0
USER_117,DEV_WORKSTATION_9,192.168.1.20,/admin/db_backup,2026-08-28 21:12:00,2026-08-28 22:09:00,1,MFA,1
USER_122,DEV_WORKSTATION_10,10.0.4.15,/finance/records,2026-08-28 16:52:00,2026-08-28 18:59:00,1,Password,1
USER_117,DEV_WORKSTATION_10,192.168.1.48,/public/index.html,2026-08-28 16:56:00,2026-08-28 18:49:00,1,Password,0
USER_113,DEV_WORKSTATION_17,192.168.1.11,/finance/records,2026-08-29 02:00:00,2026-08-29 05:34:00,1,Kerberos,1
USER_104,DEV_WORKSTATION_10,192.168.1.22,/finance/records,2026-08-28 14:48:00,2026-08-28 18:25:00,1,MFA,1
USER_107,DEV_WORKSTATION_8,192.168.1.17,/api/v1/auth,2026-08-28 17:08:00,2026-08-28 20:35:00,0,SSH-Key,0
USER_102,DEV_WORKSTATION_16,192.168.1.36,/admin/db_backup,2026-08-28 14:54:00,2026-08-28 15:26:00,1,MFA,1
USER_116,DEV_WORKSTATION_4,192.168.1.55,/sys/config,2026-08-29 00:13:00,2026-08-29 00:50:00,1,Password,0
USER_123,DEV_WORKSTATION_9,192.168.1.42,/admin/db_backup,2026-08-28 15:00:00,2026-08-28 18:52:00,1,Kerberos,1
USER_101,DEV_WORKSTATION_17,192.168.1.50,/public/index.html,2026-08-28 10:21:00,2026-08-28 14:12:00,1,MFA,0
USER_109,DEV_WORKSTATION_17,192.168.1.20,/finance/records,2026-08-28 17:28:00,2026-08-28 18:18:00,1,SSH-Key,1
USER_106,DEV_WORKSTATION_18,192.168.1.17,/public/index.html,2026-08-28 12:46:00,2026-08-28 16:30:00,1,SSH-Key,0
USER_121,DEV_WORKSTATION_10,192.168.1.58,/admin/db_backup,2026-08-29 05:36:00,2026-08-29 07:38:00,0,Kerberos,1
USER_109,DEV_WORKSTATION_10,192.168.1.17,/admin/db_backup,2026-08-29 05:45:00,2026-08-29 08:31:00,0,SSH-Key,1
USER_106,DEV_WORKSTATION_9,192.168.1.26,/public/index.html,2026-08-28 15:18:00,2026-08-28 18:09:00,1,Password,0
USER_124,DEV_WORKSTATION_10,192.168.1.19,/finance/records,2026-08-29 08:30:00,2026-08-29 11:05:00,1,Kerberos,1
USER_112,DEV_WORKSTATION_4,192.168.1.35,/public/index.html,2026-08-28 20:20:00,2026-08-28 21:24:00,0,SSH-Key,0
USER_111,DEV_WORKSTATION_17,192.168.1.40,/sys/config,2026-08-28 20:25:00,2026-08-29 00:05:00,1,SSH-Key,0
USER_111,SRV_DB_1,192.168.1.46,/admin/db_backup,2026-08-28 10:30:00,2026-08-28 12:22:00,0,SSH-Key,1
USER_111,DEV_WORKSTATION_5,10.0.4.15,/api/v1/auth,2026-08-28 23:06:00,2026-08-29 01:21:00,0,Kerberos,0
USER_104,DEV_WORKSTATION_18,192.168.1.19,/api/v1/auth,2026-08-28 13:04:00,2026-08-28 15:35:00,1,SSH-Key,0
USER_124,DEV_WORKSTATION_15,192.168.1.26,/api/v1/auth,2026-08-28 23:18:00,2026-08-29 01:35:00,1,SSH-Key,0
USER_101,SRV_DB_3,192.168.1.11,/api/v1/auth,2026-08-29 09:40:00,2026-08-29 12:23:00,1,Password,0
USER_102,DEV_WORKSTATION_19,192.168.1.14,/finance/records,2026-08-28 23:30:00,2026-08-29 01:06:00,0,Password,1
USER_109,SRV_DB_2,192.168.1.11,/public/index.html,2026-08-29 04:48:00,2026-08-29 08:00:00,1,Password,0
USER_115,DEV_WORKSTATION_17,192.168.1.49,/admin/db_backup,2026-08-28 15:51:00,2026-08-28 18:17:00,1,Kerberos,1
USER_113,DEV_WORKSTATION_1,192.168.1.10,/admin/db_backup,2026-08-28 21:10:00,2026-08-28 21:55:00,1,MFA,1
USER_107,DEV_WORKSTATION_5,192.168.1.35,/api/v1/auth,2026-08-29 02:33:00,2026-08-29 03:53:00,1,Password,0
USER_112,DEV_WORKSTATION_1,192.168.1.53,/finance/records,2026-08-29 02:40:00,2026-08-29 05:34:00,1,Password,1
USER_115,DEV_WORKSTATION_10,192.168.1.22,/sys/config,2026-08-28 16:03:00,2026-08-28 19:49:00,1,Password,0
USER_123,DEV_WORKSTATION_4,192.168.1.30,/public/index.html,2026-08-28 16:06:00,2026-08-28 17:32:00,1,Kerberos,0
USER_102,DEV_WORKSTATION_9,192.168.1.15,/api/v1/auth,2026-08-28 18:52:00,2026-08-28 20:13:00,1,MFA,0
USER_112,DEV_WORKSTATION_6,192.168.1.12,/finance/records,2026-08-29 03:08:00,2026-08-29 06:21:00,1,SSH-Key,1
USER_107,DEV_WORKSTATION_2,192.168.1.10,/admin/db_backup,2026-08-28 19:00:00,2026-08-28 21:59:00,1,SSH-Key,1
USER_101,DEV_WORKSTATION_1,192.168.1.38,/finance/records,2026-08-29 08:54:00,2026-08-29 09:38:00,1,MFA,1
USER_109,DEV_WORKSTATION_19,192.168.1.29,/public/index.html,2026-08-29 06:16:00,2026-08-29 09:31:00,0,MFA,0
USER_104,DEV_WORKSTATION_18,192.168.1.47,/api/v1/auth,2026-08-28 13:36:00,2026-08-28 16:19:00,1,Password,0
USER_105,DEV_WORKSTATION_15,192.168.1.52,/sys/config,2026-08-29 09:21:00,2026-08-29 12:54:00,1,MFA,0
USER_106,DEV_WORKSTATION_10,192.168.1.33,/public/index.html,2026-08-28 16:30:00,2026-08-28 18:43:00,1,SSH-Key,0
USER_122,DEV_WORKSTATION_16,192.168.1.30,/finance/records,2026-08-29 01:06:00,2026-08-29 02:11:00,1,Password,1
USER_115,DEV_WORKSTATION_18,192.168.1.36,/finance/records,2026-08-29 04:04:00,2026-08-29 06:53:00,1,Kerberos,1
USER_108,DEV_WORKSTATION_3,192.168.1.26,/finance/records,2026-08-29 07:04:00,2026-08-29 10:32:00,1,SSH-Key,1
USER_124,DEV_WORKSTATION_10,192.168.1.40,/api/v1/auth,2026-08-28 22:30:00,2026-08-29 02:12:00,1,SSH-Key,0
USER_124,SRV_DB_2,192.168.1.51,/public/index.html,2026-08-28 22:35:00,2026-08-29 00:10:00,1,Password,0
USER_102,DEV_WORKSTATION_18,192.168.1.45,/api/v1/auth,2026-08-28 13:52:00,2026-08-28 15:54:00,0,SSH-Key,0
USER_107,DEV_WORKSTATION_6,192.168.1.20,/admin/db_backup,2026-08-28 10:57:00,2026-08-28 13:47:00,1,SSH-Key,1
USER_110,DEV_WORKSTATION_6,192.168.1.59,/finance/records,2026-08-29 07:44:00,2026-08-29 11:09:00,0,SSH-Key,1
USER_123,DEV_WORKSTATION_6,192.168.1.27,/sys/config,2026-08-29 01:54:00,2026-08-29 05:21:00,1,SSH-Key,0
USER_120,DEV_WORKSTATION_7,192.168.1.36,/admin/db_backup,2026-08-28 23:00:00,2026-08-29 01:05:00,0,MFA,1
USER_116,DEV_WORKSTATION_17,192.168.1.47,/admin/db_backup,2026-08-29 08:08:00,2026-08-29 09:43:00,1,SSH-Key,1
USER_104,SRV_DB_4,192.168.1.58,/finance/records,2026-08-28 11:02:00,2026-08-28 11:34:00,0,SSH-Key,1
USER_104,DEV_WORKSTATION_2,192.168.1.34,/api/v1/auth,2026-08-29 02:18:00,2026-08-29 04:59:00,1,Password,0
USER_120,DEV_WORKSTATION_17,192.168.1.36,/api/v1/auth,2026-08-29 14:40:00,2026-08-29 16:53:00,1,MFA,0
USER_117,DEV_WORKSTATION_8,192.168.1.49,/sys/config,2026-08-29 14:50:00,2026-08-29 15:26:00,1,MFA,0
USER_104,SRV_DB_2,192.168.1.40,/finance/records,2026-08-29 08:48:00,2026-08-29 10:40:00,1,MFA,1
USER_111,SRV_DB_4,192.168.1.13,/public/index.html,2026-08-29 05:49:00,2026-08-29 08:53:00,1,Kerberos,0
USER_114,DEV_WORKSTATION_8,10.0.4.99,/public/index.html,2026-08-28 23:40:00,2026-08-29 02:30:00,1,Password,0
USER_111,DEV_WORKSTATION_15,10.0.4.99,/admin/db_backup,2026-08-29 02:54:00,2026-08-29 04:12:00,0,MFA,1
USER_121,DEV_WORKSTATION_1,192.168.1.45,/public/index.html,2026-08-28 11:10:00,2026-08-28 14:35:00,1,MFA,0
USER_121,DEV_WORKSTATION_13,192.168.1.38,/api/v1/auth,2026-08-29 03:06:00,2026-08-29 06:05:00,1,Password,0
USER_116,DEV_WORKSTATION_17,192.168.1.36,/api/v1/auth,2026-08-29 03:12:00,2026-08-29 05:21:00,1,Kerberos,0
USER_106,DEV_WORKSTATION_14,192.168.1.44,/sys/config,2026-08-29 03:18:00,2026-08-29 06:24:00,1,Password,0
USER_106,DEV_WORKSTATION_4,192.168.1.43,/api/v1/auth,2026-08-28 11:14:00,2026-08-28 14:41:00,1,Kerberos,0
USER_112,DEV_WORKSTATION_9,10.0.4.99,/finance/records,2026-08-28 14:30:00,2026-08-28 18:02:00,1,MFA,1
USER_116,DEV_WORKSTATION_19,192.168.1.25,/public/index.html,2026-08-29 10:08:00,2026-08-29 10:39:00,0,Password,0
USER_117,DEV_WORKSTATION_1,192.168.1.33,/admin/db_backup,2026-08-28 21:08:00,2026-08-28 22:44:00,1,Password,1
USER_102,DEV_WORKSTATION_6,192.168.1.26,/finance/records,2026-08-29 13:42:00,2026-08-29 16:11:00,1,MFA,1
USER_107,DEV_WORKSTATION_1,192.168.1.19,/public/index.html,2026-08-28 11:19:00,2026-08-28 13:15:00,1,Kerberos,0
USER_111,DEV_WORKSTATION_17,192.168.1.17,/public/index.html,2026-08-29 07:20:00,2026-08-29 08:38:00,1,MFA,0
